beneficiary_id,project_id,country,region,aid_type,distribution_date,amount_usd,age,gender,household_size
B11723,P195,Uganda,Dar es Salaam,Cash Transfer,2024-10-21,180.77,44.0,Female,8
B10051,P118,South Sudan,Kisumu,Education Grant,2024-02-14,130.75,55.0,Male,4
B11208,P186,South Sudan,Addis Ababa,Food Aid,2024-03-02,79.87,46.0,Male,3
B10102,P199,South Sudan,Mombasa,Medical Support,2023-07-07,132.86,54.0,Male,9
B10032,P196,Uganda,Nairobi,Food Aid,2024-02-02,149.33,9.0,Male,11
B12190,P190,Kenya,Addis Ababa,Cash Transfer,2024-07-14,70.09,46.0,Female,1
B11134,P114,Kenya,Kisumu,Medical Support,2023-05-12,137.79,58.0,Male,2
B10772,P173,Tanzania,Nairobi,Food Aid,2024-01-31,181.62,50.0,Male,9
B12705,P136,Kenya,Addis Ababa,Cash Transfer,2023-08-06,202.25,43.0,Female,2
B12260,P159,Uganda,Kisumu,Food Aid,2023-05-15,171.84,28.0,Female,8
B12949,P145,Ethiopia,Kampala,Education Grant,2024-04-24,68.48,47.0,Male,7
B12010,P135,Tanzania,Kisumu,Education Grant,2023-01-03,69.62,9.0,Female,2
B10527,P131,Kenya,Dar es Salaam,Medical Support,2023-03-13,152.4,57.0,Male,9
B12307,P100,Uganda,Nairobi,Medical Support,2023-08-26,140.84,77.0,Male,5
B12250,P147,Ethiopia,Addis Ababa,Education Grant,2024-02-24,143.62,50.0,Male,10
B12394,P141,Ethiopia,Juba,Cash Transfer,2023-10-28,145.83,52.0,Male,1
B11080,P184,Ethiopia,Dar es Salaam,Cash Transfer,2023-01-13,132.57,52.0,Male,6
B10174,P152,Tanzania,Kisumu,Cash Transfer,2024-01-28,163.83,52.0,Male,2
B11231,P146,Ethiopia,Addis Ababa,Cash Transfer,2024-10-13,81.51,57.0,Male,4
B10184,P124,Ethiopia,Kampala,Water & Sanitation,2024-12-30,138.83,62.0,Male,1
B10251,P111,Kenya,Nairobi,Food Aid,2024-11-26,195.89,56.0,Female,2
B11195,P144,Tanzania,Nairobi,Medical Support,2024-06-24,172.02,33.0,Male,1
B10194,P107,Tanzania,Nairobi,Cash Transfer,2023-12-30,158.66,58.0,Male,6
B10807,P161,Kenya,Kampala,Water & Sanitation,2023-11-29,126.06,5.0,Male,8
B12131,P153,Kenya,Mombasa,Cash Transfer,2024-04-16,150.98,72.0,Female,7
B10889,P184,Tanzania,Juba,Water & Sanitation,2024-10-08,205.44,33.0,Female,9
B12073,P152,South Sudan,Addis Ababa,Water & Sanitation,2024-11-04,159.87,22.0,Female,9
B11337,P192,South Sudan,Dar es Salaam,Education Grant,2024-06-27,134.88,51.0,Female,9
B11591,P133,Uganda,Dar es Salaam,Food Aid,2023-12-12,3.93,26.0,Female,3
B12629,P119,South Sudan,Mombasa,Food Aid,2024-10-21,126.03,25.0,Female,3
B10829,P118,Kenya,Addis Ababa,Medical Support,2023-04-13,135.91,11.0,Male,9
B11261,P124,Kenya,Kisumu,Medical Support,2024-06-15,153.8,8.0,Female,10
B10544,P165,South Sudan,Mombasa,Education Grant,2023-06-20,26.42,73.0,Male,10
B10246,P116,Ethiopia,Addis Ababa,Medical Support,2024-12-03,126.25,71.0,Male,8
B11765,P120,Ethiopia,Nairobi,Medical Support,2024-01-24,107.84,39.0,Female,1
B11798,P160,Ethiopia,Addis Ababa,Water & Sanitation,2024-07-01,203.8,11.0,Male,3
B10270,P190,Kenya,Juba,Education Grant,2024-05-27,222.06,21.0,Female,9
B11551,P191,Uganda,Kisumu,Education Grant,2024-07-21,139.82,,Female,5
B11963,P109,Uganda,Kampala,Water & Sanitation,2024-02-10,182.26,49.0,female,4
B11983,P112,Tanzania,Mombasa,Education Grant,2024-05-09,193.12,17.0,Female,8
B12651,P160,Kenya,Juba,Medical Support,2024-08-29,225.96,48.0,Female,5
B10729,P101,Uganda,Nairobi,Medical Support,2024-10-17,111.08,24.0,Female,11
B11837,P119,Kenya,Dar es Salaam,Education Grant,2023-10-29,155.43,17.0,Female,3
B12466,P154,Uganda,Addis Ababa,Cash Transfer,2024-08-14,111.84,69.0,Female,7
B10486,P123,Kenya,Mombasa,Education Grant,2024-05-29,117.67,19.0,Male,2
B12862,P161,Uganda,Juba,Medical Support,2024-03-05,94.89,26.0,Female,2
B10964,P127,Ethiopia,Kampala,Medical Support,2024-09-17,145.51,38.0,Female,2
B11323,P122,Ethiopia,Kampala,Education Grant,2024-07-07,174.33,17.0,Male,10
B10457,P140,Uganda,Nairobi,Medical Support,2024-07-17,98.24,26.0,Female,11
B11771,P116,South Sudan,Mombasa,Food Aid,2023-06-07,234.75,23.0,female,2
B10965,P153,Tanzania,Nairobi,Medical Support,2023-08-02,222.01,64.0,Male,5
B11357,P158,Uganda,Kisumu,Education Grant,2024-05-09,169.59,20.0,Male,3
B10471,P121,Ethiopia,Dar es Salaam,Water & Sanitation,2024-12-14,34.9,19.0,male,4
B11089,P163,Kenya,Mombasa,Medical Support,2023-08-16,140.18,14.0,Male,4
B11618,P160,South Sudan,Dar es Salaam,Medical Support,2024-07-19,128.68,73.0,Female,4
B10411,P195,Uganda,Nairobi,Water & Sanitation,2024-02-26,93.77,63.0,Female,2
B10045,P121,Kenya,Nairobi,Cash Transfer,2024-04-02,114.01,74.0,Male,9
B12149,P199,Kenya,Addis Ababa,Cash Transfer,2023-10-17,67.84,31.0,Female,2
B12724,P177,Kenya,Nairobi,Water & Sanitation,2023-08-04,248.13,55.0,Female,8
B10535,P112,Tanzania,Mombasa,Water & Sanitation,2024-12-21,152.37,9.0,Female,4
B10408,P118,Tanzania,Addis Ababa,Medical Support,2024-10-27,156.01,44.0,Female,9
B12909,P101,South Sudan,Kampala,Food Aid,2024-02-18,212.86,36.0,Male,7
B12091,P131,Tanzania,Mombasa,Food Aid,2023-09-26,165.02,20.0,Male,3
B12757,P141,Tanzania,Kisumu,Medical Support,2024-11-29,112.09,23.0,Female,5
B10196,P129,Uganda,Dar es Salaam,Education Grant,2023-12-23,105.81,75.0,Male,10
B12852,P134,Ethiopia,Kampala,Food Aid,2024-12-18,94.76,24.0,Female,11
B10794,P121,Kenya,Dar es Salaam,Cash Transfer,2023-03-06,95.95,51.0,Male,9
B10533,P153,Ethiopia,Nairobi,Medical Support,2024-11-25,89.45,8.0,Male,6
B12123,P126,Kenya,Kisumu,Water & Sanitation,2023-04-22,136.86,16.0,Male,8
B10321,P130,Uganda,Mombasa,Water & Sanitation,2024-05-03,179.76,16.0,Male,10
B11472,P152,Uganda,Dar es Salaam,Education Grant,2023-08-27,143.3,36.0,Female,5
B12795,P133,Ethiopia,Addis Ababa,Water & Sanitation,2024-01-19,107.58,43.0,Female,5
B11088,P133,Ethiopia,Juba,Education Grant,2024-05-03,137.05,12.0,Male,11
B11788,P169,Tanzania,Kampala,Cash Transfer,2024-09-14,165.96,44.0,Male,11
B10507,P140,Kenya,Juba,Water & Sanitation,2024-09-11,106.8,56.0,Male,3
B11878,P101,South Sudan,Nairobi,Cash Transfer,2024-03-05,65.83,15.0,Female,4
B10266,P136,Tanzania,Nairobi,Cash Transfer,2024-05-02,231.62,65.0,Female,8
B10969,P147,Ethiopia,Mombasa,Food Aid,2024-05-18,78.46,44.0,Male,1
B11446,P109,Kenya,Kisumu,Medical Support,2023-01-20,123.57,20.0,Male,10
B10680,P147,Uganda,Addis Ababa,Medical Support,2023-07-13,186.08,19.0,Female,5
B12682,P102,Kenya,Dar es Salaam,Food Aid,2023-04-30,133.53,30.0,Female,9
B12892,P161,Kenya,Nairobi,Education Grant,2023-11-25,188.41,55.0,Female,2
B10192,P198,Uganda,Juba,Education Grant,2023-03-05,160.7,52.0,Female,11
B10472,P126,Ethiopia,Juba,Medical Support,2024-11-05,74.24,73.0,M,9
B10211,P161,Kenya,Addis Ababa,Water & Sanitation,2023-03-23,206.78,10.0,Male,6
B10354,P150,Tanzania,Dar es Salaam,Water & Sanitation,2024-10-16,149.05,72.0,Male,3
B12800,P108,Ethiopia,Dar es Salaam,Food Aid,2024-12-19,159.19,74.0,F,5
B12866,P110,Ethiopia,Nairobi,Cash Transfer,2024-02-25,108.07,18.0,Male,8
B10479,P102,Uganda,Juba,Water & Sanitation,2024-02-26,205.98,12.0,Female,4
B11817,P197,Uganda,Dar es Salaam,Cash Transfer,2023-04-14,114.04,46.0,Female,4
B12771,P161,Tanzania,Kisumu,Water & Sanitation,2023-01-05,112.67,55.0,Female,2
B11800,P156,Kenya,Nairobi,Food Aid,2024-04-26,245.06,41.0,M,2
B10839,P185,Kenya,Mombasa,Water & Sanitation,2024-10-02,139.3,36.0,Male,3
B12147,P122,South Sudan,Nairobi,Water & Sanitation,2023-03-16,108.58,56.0,Male,5
B11497,P126,Ethiopia,Addis Ababa,Cash Transfer,2023-02-26,210.42,31.0,Female,9
B10449,P187,Ethiopia,Juba,Water & Sanitation,2023-12-04,97.04,55.0,Female,2
B11299,P140,Uganda,Kisumu,Water & Sanitation,2024-09-04,166.08,60.0,Female,8
B10642,P156,Uganda,Mombasa,Medical Support,2024-09-22,137.02,68.0,M,2
B12176,P155,Ethiopia,Dar es Salaam,Food Aid,2023-09-30,69.62,43.0,Male,7
B12287,P183,Uganda,Juba,Medical Support,2023-07-12,137.42,38.0,Male,6
B12965,P192,South Sudan,Addis Ababa,Medical Support,2024-06-16,137.06,78.0,Female,6
B12798,P198,Tanzania,Kisumu,Water & Sanitation,2024-09-14,132.02,60.0,Female,7
B10088,P199,Kenya,Kampala,Cash Transfer,2024-09-17,123.51,59.0,Male,1
B10927,P107,Uganda,Addis Ababa,Cash Transfer,2024-07-16,168.86,33.0,Male,9
B11272,P180,Tanzania,Addis Ababa,Cash Transfer,2024-10-07,95.38,71.0,Female,5
B11672,P182,Uganda,Kampala,Water & Sanitation,2023-06-04,130.41,9.0,Male,3
B12181,P195,Kenya,Mombasa,Water & Sanitation,2023-12-16,132.13,52.0,Male,3
B10761,P135,Kenya,Kampala,Education Grant,2024-08-06,156.1,52.0,Female,2
B10610,P170,Uganda,Kisumu,Cash Transfer,2024-09-21,182.72,38.0,Female,8
B12411,P168,Ethiopia,Mombasa,Medical Support,2023-04-17,226.9,75.0,Male,10
B12785,P126,Kenya,Kampala,Water & Sanitation,2023-09-03,132.4,59.0,Female,10
B10152,P186,Ethiopia,Mombasa,Education Grant,2024-09-13,116.0,22.0,Male,2
B10682,P181,Kenya,Dar es Salaam,Water & Sanitation,2023-12-19,123.77,58.0,Male,4
B10528,P108,Ethiopia,Kampala,Medical Support,2023-05-15,162.99,61.0,Male,9
B11402,P167,South Sudan,Nairobi,Education Grant,2023-08-11,209.29,5.0,female,2
B11769,P117,South Sudan,Addis Ababa,Water & Sanitation,2023-02-06,177.57,72.0,Male,7
B11766,P105,Ethiopia,Kisumu,Water & Sanitation,2024-02-23,258.55,23.0,Male,8
B12812,P116,Ethiopia,Nairobi,Medical Support,2023-07-27,236.94,68.0,Male,9
B11025,P192,Ethiopia,Addis Ababa,Medical Support,2024-09-18,171.82,44.0,Male,4
B12831,P164,South Sudan,Mombasa,Water & Sanitation,2024-09-27,103.78,64.0,Female,4
B11047,P197,South Sudan,Addis Ababa,Cash Transfer,2023-04-08,71.18,27.0,Male,3
B11187,P114,Kenya,Nairobi,Food Aid,2024-11-28,138.77,56.0,female,1
B10940,P134,Uganda,Nairobi,Education Grant,2023-05-10,85.98,17.0,Female,11
B11229,P101,Tanzania,Addis Ababa,Education Grant,2024-01-01,260.53,76.0,Male,4
B11064,P155,Uganda,Juba,Cash Transfer,2024-11-02,131.88,23.0,Male,9
B11584,P102,Kenya,Kisumu,Food Aid,2023-12-16,171.44,13.0,Female,2
B10864,P185,Kenya,Addis Ababa,Medical Support,2024-06-28,119.36,25.0,Male,1
B11173,P167,South Sudan,Mombasa,Food Aid,2023-01-12,146.87,36.0,Female,4
B11114,P166,Ethiopia,Kisumu,Water & Sanitation,2023-08-19,157.52,47.0,Female,1
B10067,P166,Tanzania,Nairobi,Cash Transfer,2024-10-13,200.18,45.0,Female,8
B10805,P178,Kenya,Dar es Salaam,Education Grant,2023-07-16,134.54,24.0,Female,7
B11740,P185,Tanzania,Dar es Salaam,Water & Sanitation,2023-03-25,144.78,45.0,Male,8
B11289,P152,Uganda,Dar es Salaam,Cash Transfer,2023-05-10,42.36,79.0,Male,8
B12589,P170,Uganda,Addis Ababa,Cash Transfer,2024-10-25,146.82,18.0,Male,3
B10134,P105,Kenya,Juba,Water & Sanitation,2023-10-27,104.03,58.0,Male,8
B11957,P197,Uganda,Kisumu,Cash Transfer,2024-03-29,306.89,31.0,female,6
B11422,P155,Ethiopia,Addis Ababa,Education Grant,2024-11-06,131.75,54.0,Male,11
B10331,P126,South Sudan,Addis Ababa,Education Grant,2024-06-19,105.14,28.0,Male,9
B10670,P162,Uganda,Juba,Education Grant,2023-08-11,212.3,78.0,Male,7
B11873,P124,Uganda,Addis Ababa,Cash Transfer,2024-12-27,188.98,10.0,Female,11
B10691,P126,Uganda,Kampala,Cash Transfer,2024-10-23,207.97,44.0,Female,5
B12008,P112,Kenya,Dar es Salaam,Education Grant,2024-05-22,182.96,32.0,Female,6
B11832,P130,Kenya,Nairobi,Medical Support,2023-02-22,197.66,27.0,Male,3
B10314,P114,Kenya,Kampala,Food Aid,2023-08-18,215.27,15.0,Female,1
B11351,P139,Ethiopia,Nairobi,Food Aid,2024-06-05,59.9,18.0,Female,1
B11784,P100,Tanzania,Kisumu,Food Aid,2023-04-19,154.12,54.0,Male,3
B10506,P141,Tanzania,Juba,Education Grant,2023-04-29,120.38,42.0,Female,8
B11360,P151,Ethiopia,Mombasa,Food Aid,2024-04-15,149.23,8.0,Male,6
B10257,P171,Kenya,Dar es Salaam,Education Grant,2023-01-01,114.62,28.0,Female,1
B11361,P180,Kenya,Mombasa,Food Aid,2023-11-05,178.96,52.0,Female,4
B10124,P196,Uganda,Dar es Salaam,Cash Transfer,2024-06-06,179.34,33.0,Male,4
B10178,P159,Uganda,Dar es Salaam,Food Aid,2023-12-29,136.77,11.0,Male,11
B12868,P126,Kenya,Mombasa,Water & Sanitation,2023-08-13,176.74,12.0,Male,10
B10790,P101,Kenya,Juba,Cash Transfer,2023-02-22,171.48,30.0,Female,2
B11078,P115,South Sudan,Kampala,Cash Transfer,2023-03-14,225.04,22.0,Male,11
B12755,P179,Tanzania,Mombasa,Medical Support,2023-09-27,-50.0,31.0,Male,1
B10594,P117,Uganda,Dar es Salaam,Water & Sanitation,2024-10-15,201.88,23.0,Male,3
B11253,P195,Ethiopia,Addis Ababa,Education Grant,2023-02-18,168.7,38.0,Female,3
B11614,P158,South Sudan,Dar es Salaam,Food Aid,2023-08-09,140.98,24.0,Male,1
B11444,P177,Kenya,Nairobi,Education Grant,2024-10-06,169.98,61.0,Male,9
B11001,P138,South Sudan,Nairobi,Water & Sanitation,2024-12-31,196.23,11.0,F,11
B12619,P143,Tanzania,Addis Ababa,Food Aid,2023-10-24,222.79,23.0,Female,3
B11052,P103,Kenya,Nairobi,Water & Sanitation,2023-10-12,174.7,72.0,Female,2
B10052,P162,Kenya,Addis Ababa,Water & Sanitation,2023-01-14,116.15,54.0,Female,6
B12833,P122,Kenya,Mombasa,Food Aid,2024-04-24,136.3,16.0,Male,7
B10254,P139,South Sudan,Nairobi,Water & Sanitation,2023-07-09,74.03,13.0,Male,5
B11378,P100,Kenya,Nairobi,Medical Support,2024-04-08,119.72,25.0,Female,9
B10543,P171,Kenya,Addis Ababa,Cash Transfer,2024-08-31,222.08,47.0,Female,1
B12954,P144,Uganda,Dar es Salaam,Education Grant,2023-05-05,102.55,61.0,Male,9
B11747,P122,Ethiopia,Nairobi,Water & Sanitation,2023-05-08,175.05,12.0,Female,3
B11093,P140,Ethiopia,Addis Ababa,Cash Transfer,2024-10-18,152.6,44.0,female,6
B11991,P155,South Sudan,Mombasa,Cash Transfer,2024-02-19,187.71,41.0,Male,3
B10741,P170,Tanzania,Addis Ababa,Education Grant,2024-09-23,86.02,19.0,Male,7
B10557,P159,Kenya,Kampala,Cash Transfer,2023-09-14,128.37,19.0,Female,10
B11483,P164,Kenya,Kampala,Cash Transfer,2024-06-04,130.02,53.0,Male,2
B11567,P106,Tanzania,Nairobi,Cash Transfer,2023-12-03,175.8,44.0,Male,3
B10685,P168,South Sudan,Dar es Salaam,Medical Support,2023-12-21,185.65,8.0,F,1
B11861,P182,Ethiopia,Kisumu,Medical Support,2024-05-28,190.54,31.0,Male,11
B11044,P138,Ethiopia,Nairobi,Water & Sanitation,2024-03-29,141.37,74.0,Male,10
B10080,P196,South Sudan,Nairobi,Water & Sanitation,2024-09-10,139.02,59.0,Female,5
B10838,P138,Tanzania,Dar es Salaam,Education Grant,2024-02-15,199.22,79.0,male,4
B10289,P130,Tanzania,Kampala,Food Aid,2023-09-13,118.87,74.0,Male,7
B11128,P170,Kenya,Kampala,Medical Support,2024-11-16,146.79,9.0,Male,10
B11611,P158,Ethiopia,Addis Ababa,Food Aid,2024-09-09,71.84,20.0,Female,3
B12202,P110,Uganda,Dar es Salaam,Education Grant,2024-12-09,185.99,40.0,male,1
B10887,P104,Ethiopia,Mombasa,Cash Transfer,2023-11-19,132.04,7.0,Male,10
B12545,P169,Tanzania,Kampala,Water & Sanitation,2023-05-21,171.65,40.0,female,6
B12709,P106,South Sudan,Kampala,Cash Transfer,2024-03-04,228.17,43.0,Female,5
B11767,P117,Ethiopia,Juba,Cash Transfer,2024-06-20,141.21,18.0,Male,1
B10637,P101,Tanzania,Kisumu,Cash Transfer,2023-09-19,153.67,62.0,Female,6
B11123,P155,Uganda,Mombasa,Education Grant,2024-05-20,92.85,49.0,Female,7
B12077,P151,Kenya,Nairobi,Water & Sanitation,2024-07-23,210.19,20.0,Male,5
B10141,P199,Tanzania,Kisumu,Water & Sanitation,2023-04-20,215.36,63.0,Male,9
B11691,P150,South Sudan,Dar es Salaam,Medical Support,2024-11-28,126.25,66.0,Male,9
B12302,P183,Ethiopia,Nairobi,Medical Support,2024-07-08,130.8,66.0,Male,3
B12322,P158,South Sudan,Dar es Salaam,Education Grant,2024-10-13,172.89,24.0,Female,8
B11940,P130,South Sudan,Nairobi,Food Aid,2023-11-29,165.4,43.0,Male,7
B12254,P114,Ethiopia,Mombasa,Cash Transfer,2024-10-07,87.38,55.0,Female,7
B10809,P139,Tanzania,Mombasa,Education Grant,2023-04-04,105.27,48.0,Male,4
B12405,P118,Tanzania,Nairobi,Education Grant,2023-11-08,217.02,77.0,female,11
B12054,P108,Kenya,Nairobi,Medical Support,2023-08-07,82.71,62.0,Male,5
B12323,P153,South Sudan,Mombasa,Education Grant,2023-05-01,233.72,56.0,Male,8
B12753,P179,Uganda,Dar es Salaam,Water & Sanitation,2023-09-26,142.46,32.0,Female,4
B10177,P146,Kenya,Dar es Salaam,Education Grant,2023-08-03,222.68,44.0,Female,7
B10776,P132,Ethiopia,Juba,Medical Support,2024-03-29,113.64,63.0,Female,2
B12247,P134,Uganda,Kisumu,Food Aid,2023-10-26,83.48,76.0,Female,1
B12012,P126,Tanzania,Mombasa,Education Grant,2024-01-03,111.54,17.0,Male,11
B11623,P142,Tanzania,Kampala,Cash Transfer,2024-02-06,116.59,,Male,7
B10343,P137,Kenya,Nairobi,Food Aid,2023-09-16,124.65,49.0,Male,10
B12266,P193,Tanzania,Juba,Water & Sanitation,2023-07-03,61.07,9.0,Male,2
B10443,P174,Uganda,Addis Ababa,Food Aid,2024-01-16,145.54,72.0,Male,4
B11538,P196,Ethiopia,Addis Ababa,Education Grant,2023-06-09,91.5,24.0,Female,9
B12854,P195,Uganda,Addis Ababa,Medical Support,2024-04-28,210.9,62.0,Male,11
B12285,P127,South Sudan,Addis Ababa,Water & Sanitation,2023-07-08,173.1,8.0,Female,2
B11450,P139,Tanzania,Dar es Salaam,Food Aid,2024-09-14,165.44,5.0,Male,11
B12585,P187,Uganda,Dar es Salaam,Water & Sanitation,2023-02-15,118.72,34.0,Male,8
